domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
tn.gov.in,ok,16.9,39.2,75.02,2,91.38,0.1,
maharashtra.gov.in,ok,85.25,176.01,349.09,2,98.34,0.1,
up.gov.in,ok,4.08,13.56,23.74,2,75.07,0.1,
delhi.gov.in,ok,14.07,33.54,63.7,2,89.92,0.1,
iisc.ac.in,ok,6.26,17.92,32.46,2,81.14,0.1,
iitsystem.ac.in,ok,4.76,14.92,26.46,2,77.35,0.1,
aicte-india.org,ok,35.49,76.38,149.38,2,95.57,0.1,
ugc.ac.in,ok,4.3,14.0,24.62,2,75.86,0.1,
swayam.gov.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
nptel.ac.in,ok,26.17,57.74,112.1,2,94.15,0.1,
ignou.ac.in,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1000)
cbse.gov.in,ok,5.87,17.14,30.9,2,80.28,0.1,
nta.ac.in,ok,3.82,13.04,22.7,2,74.08,0.1,
digilocker.gov.in,ok,5.28,15.96,28.54,2,78.82,0.1,
cowin.gov.in,ok,4.84,15.08,26.78,2,77.59,0.1,
parivahan.gov.in,ok,36.15,77.7,152.02,2,95.65,0.1,
passportindia.gov.in,ok,12.7,30.8,58.22,2,89.03,0.1,
eprovidentfund.gov.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
mca.gov.in,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)
gst.gov.in,ok,20.27,45.94,88.5,2,92.64,0.1,
incometax.gov.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
uidai.gov.in,ok,49.51,104.42,205.46,2,96.76,0.1,
india.gov.in,ok,28.27,61.94,120.5,2,94.54,0.1,
adityabirlacapital.com,ok,218.82,443.95,888.21,2,100.07,0.1,
shriramfinance.in,ok,213.89,434.07,868.31,2,100.04,0.1,
cholamandalam.com,ok,80.8,167.09,331.13,2,98.17,0.1,
manappuram.com,ok,146.08,298.04,594.61,2,99.51,0.1,
muthootfinance.com,ok,152.43,310.78,620.24,2,99.58,0.1,
bajajfinserv.in,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
maxlifeinsurance.com,ok,40.33,86.06,168.74,2,96.07,0.1,
iciciprulife.com,ok,38.81,83.02,162.66,2,95.93,0.1,
hdfclife.com,ok,41.76,88.92,174.46,2,96.2,0.1,
sbilife.co.in,ok,55.71,116.82,230.26,2,97.11,0.1,
licindia.in,ok,30.77,66.94,130.5,2,94.95,0.1,
digit.in,ok,96.97,199.52,396.39,2,98.67,0.1,
acko.com,ok,31.54,68.48,133.58,2,95.06,0.1,
coverfox.com,ok,64.07,133.54,263.7,2,97.47,0.1,
paisabazaar.com,ok,100.66,206.92,411.29,2,98.77,0.1,
bankbazaar.com,ok,42.72,90.84,178.3,2,96.28,0.1,
policybazaar.com,ok,233.03,472.46,945.56,2,100.14,0.1,
kotaksec.com,failed,,,,,,0.1,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kotaksec.com'. (_ssl.c:1000)"
motilaloswal.com,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
sharekhan.com,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
hdfcsec.com,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
icicidirect.com,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
5paisa.com,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
angelone.in,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
groww.in,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
upstox.com,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
zerodha.com,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
punjabandsindbank.co.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
indianoverseasbank.in,failed,,,,,,0.1,[Errno 11002] getaddrinfo failed
mahabank.co.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
uco.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
centralbankofindia.co.in,ok,206.77,419.78,839.57,2,100.0,0.1,
bankofindia.co.in,ok,215.73,437.76,875.74,2,100.05,0.1,
southindianbank.com,ok,103.31,212.24,421.98,2,98.82,0.1,
bandhanbank.com,ok,40.21,85.82,168.26,2,96.06,0.1,
rblbank.com,ok,188.75,383.63,766.84,2,99.89,0.1,
federalbank.co.in,ok,41.98,89.36,175.34,2,96.22,0.1,
idfcfirstbank.com,ok,109.78,225.22,448.1,2,98.96,0.1,
indusind.com,ok,44.64,94.68,185.98,2,96.43,0.1,
yesbank.in,failed,,,,,,0.1,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)
indianbank.in,ok,81.29,168.07,333.11,2,98.2,0.1,
canarabank.com,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
unionbankofindia.co.in,ok,77.31,160.08,317.04,2,98.05,0.1,
bankofbaroda.in,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
