domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
hdfcsec.com,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
icicidirect.com,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
5paisa.com,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
angelone.in,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
groww.in,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
upstox.com,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
zerodha.com,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
punjabandsindbank.co.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
indianoverseasbank.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
mahabank.co.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
uco.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
centralbankofindia.co.in,ok,41.46,92.81,202.02,2,117.67,1.2,
bankofindia.co.in,ok,97.55,207.25,440.82,2,112.7,1.2,
southindianbank.com,ok,116.16,245.84,523.96,2,113.13,1.2,
bandhanbank.com,ok,234.69,491.59,1053.52,2,114.31,1.2,
rblbank.com,ok,178.61,375.32,802.97,2,113.94,1.2,
federalbank.co.in,ok,30.81,71.51,159.42,2,122.93,1.2,
idfcfirstbank.com,ok,64.65,139.19,294.78,2,111.78,1.2,
indusind.com,ok,88.52,188.53,400.48,2,112.42,1.2,
yesbank.in,failed,,,,,,1.2,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)
indianbank.in,ok,7.75,25.39,67.18,2,164.59,1.2,
canarabank.com,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
unionbankofindia.co.in,ok,28.41,66.71,149.82,2,124.58,1.2,
bankofbaroda.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
pnbindia.in,ok,24.6,59.09,134.58,2,127.75,1.2,
kotak.com,ok,38.26,86.41,189.22,2,118.98,1.2,
axisbank.com,ok,23.51,56.91,130.22,2,128.82,1.2,
icicibank.com,ok,72.66,155.65,329.62,2,111.77,1.2,
hdfcbank.com,ok,147.47,310.75,663.85,2,113.63,1.2,
sbi.co.in,ok,98.15,208.5,443.5,2,112.71,1.2,
nseindia.com,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
