domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
mca.gov.in,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)
gst.gov.in,ok,72.87,166.89,413.1,2,147.53,3.5,
incometax.gov.in,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
uidai.gov.in,ok,82.68,188.68,468.04,2,148.06,3.5,
india.gov.in,ok,89.88,204.67,508.36,2,148.38,3.5,
adityabirlacapital.com,ok,151.37,341.28,852.73,2,149.86,3.5,
shriramfinance.in,ok,127.24,287.67,717.59,2,149.45,3.5,
cholamandalam.com,ok,173.77,391.04,978.18,2,150.15,3.5,
manappuram.com,ok,234.5,525.96,1318.29,2,150.64,3.5,
muthootfinance.com,ok,150.88,340.19,849.98,2,149.85,3.5,
bajajfinserv.in,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
maxlifeinsurance.com,ok,76.01,173.86,430.68,2,147.72,3.5,
iciciprulife.com,ok,78.58,179.57,445.08,2,147.86,3.5,
hdfclife.com,ok,37.38,94.53,261.21,2,176.32,3.5,
sbilife.co.in,failed,,,,,,3.5,_ssl.c:983: The handshake operation timed out
licindia.in,ok,100.44,228.13,567.5,2,148.76,3.5,
digit.in,ok,156.71,353.14,882.64,2,149.94,3.5,
acko.com,ok,109.38,247.99,617.57,2,149.03,3.5,
coverfox.com,ok,116.83,264.55,659.29,2,149.21,3.5,
paisabazaar.com,ok,343.0,767.0,1925.93,2,151.1,3.5,
bankbazaar.com,ok,127.37,287.96,718.32,2,149.45,3.5,
policybazaar.com,ok,384.86,859.99,2160.36,2,151.21,3.5,
kotaksec.com,failed,,,,,,3.5,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kotaksec.com'. (_ssl.c:1000)"
motilaloswal.com,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
sharekhan.com,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
hdfcsec.com,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
icicidirect.com,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
5paisa.com,ok,105.02,238.31,593.15,2,148.9,3.5,
angelone.in,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
groww.in,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
upstox.com,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
zerodha.com,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
punjabandsindbank.co.in,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
indianoverseasbank.in,failed,,,,,,3.5,[Errno 11002] getaddrinfo failed
mahabank.co.in,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
uco.in,failed,,,,,,3.5,_ssl.c:983: The handshake operation timed out
centralbankofindia.co.in,ok,19.83,59.43,191.01,2,221.4,3.5,
bankofindia.co.in,ok,20.2,60.17,192.49,2,219.91,3.5,
southindianbank.com,ok,87.17,198.65,493.18,2,148.27,3.5,
bandhanbank.com,ok,9.3,38.37,148.89,2,288.04,3.5,
rblbank.com,ok,185.6,417.32,1044.43,2,150.27,3.5,
federalbank.co.in,ok,5.68,31.13,134.41,2,331.77,3.5,
idfcfirstbank.com,ok,72.8,166.73,412.71,2,147.53,3.5,
indusind.com,ok,27.87,75.51,223.17,2,195.55,3.5,
yesbank.in,failed,,,,,,3.5,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)
indianbank.in,ok,30.68,81.13,234.41,2,188.93,3.5,
canarabank.com,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
unionbankofindia.co.in,ok,32.7,85.17,242.49,2,184.71,3.5,
